product_id,product_title,rating,total_reviews,price,top_reviews
itmfddcdf7717452,"IQOO Z10X 5G (Titanium, 128 GB)",4.4,188,"₹13,698","4 Value-for-money Camera Front : Bright and Sharp Back: Good Battery Charging: 1hr 30min approx Discharge: onscreen 9 hr Standby: last 2 days Performance: 👍 no doubt its awesome 👍 Background Tasks : Manages Perfectly Display: FHD+ Touch : smooth 120fps Bgmi: 60fps Sound : Good Voice : Mic work properly even from distance Bloatware: yes 4 to 5 apps are pre-installed Overall you can go for it. READ MORE Saurav Kumar Certified Buyer , Patna 4 months ago 919 169 Permalink Report Abuse || 5 Awesome Looks classic of the phone 📱 I'm happy with this phone dual speaker works better sound quality is too good battery backup, performance, camera, display everything is value for money READ MORE Tasneef Quamar Certified Buyer , Araria 3 months ago 353 79 Permalink Report Abuse"
itmb57aad9fe876e,"IQOO Z10 Lite 5G (Cyber Green, 128 GB)",4.2,23,"₹10,246","5 Highly recommended Very nice 👍 READ MORE Vipulkumar Rathva Certified Buyer , Vaghodia 2 months ago 172 60 Permalink Report Abuse || 5 Just wow! Super READ MORE Flipkart Customer Certified Buyer , Tiruchirappalli 1 month ago 30 7 Permalink Report Abuse"
itm49557c5a65f9c,"Nothing Phone (3a) (White, 128 GB)",4.5,"2,778","₹24,999","5 Classy product Value for money mobile, Camera quality awesome READ MORE Vipin Singh Certified Buyer , Noida 4 months ago 368 91 Permalink Report Abuse || 5 Worth every penny Nice Phone Value For Money READ MORE Pankaj Bhargav Certified Buyer , Garoth 5 months ago 1487 432 Permalink Report Abuse"
itm49557c5a65f9c,"Nothing Phone (3a) (Black, 128 GB)",4.5,"2,778","₹24,999","5 Classy product Value for money mobile, Camera quality awesome READ MORE Vipin Singh Certified Buyer , Noida 4 months ago 368 91 Permalink Report Abuse || 5 Worth every penny Nice Phone Value For Money READ MORE Pankaj Bhargav Certified Buyer , Garoth 5 months ago 1487 432 Permalink Report Abuse"
itm3a5653667cb9c,"vivo T4R 5G (Twilight Blue, 128 GB)",4.5,580,"₹19,499","5 Great product Excellent looks premium Display quality good Nice product 👌 READ MORE Ritik Rashan  Ram Certified Buyer , Central Division 19 days ago 194 28 Permalink Report Abuse || 5 Simply awesome Good phone and good price all features are best. READ MORE Bigan Sharma Certified Buyer , Bilaspur Division 1 month ago 259 47 Permalink Report Abuse"
itm017656bdd097b,"vivo T4x 5G (Pronto Purple, 128 GB)",4.4,"5,654","₹13,999","5 Fabulous! Nice product ❤️ READ MORE Kim jong Un Certified Buyer , Ahmadnagar 6 months ago 1554 454 Permalink Report Abuse || 5 Super! Best Phone in this Price Range. Pros :- 1. Camera :- Back Camera - 5/5 Front Camera - 3/5 2. Battery - 4/5 (1 day backup with heavy usage, 2 Days with Moderate Use) 3. Display - 4/5 (Good Display) 4. Performance - 4/5 (Satisfied in this Price Range) 5. Charging - 5/5 ( Take Approximately 1 h 30 m to charge 0% to 100%). 6. Network Connectivity - 5/5 (99% times it shows 5G+) Cons :- 1. Audio Jack Not Available. 2. Front Camera is only of 8 mp. 3. On Screen Fingerprint Sensor is not ... READ MORE Mihir Kumar  Jha Certified Buyer , Darbhanga 3 months ago 17 1 Permalink Report Abuse"
itm4d9e853eee6cf,"OPPO Reno14 5G (Forest Green, 256 GB)",4.4,220,"₹37,999","4 Good choice 7x and 3.5x in zoom area Oppo did excellent job READ MORE Md Sarfaraz Ansari Certified Buyer , Bardhaman 1 month ago 146 32 Permalink Report Abuse || 5 Simply awesome Good product READ MORE Shubham singh Certified Buyer , Sanand Gidc 2 months ago 502 131 Permalink Report Abuse"
itm17be6c392ab4c,"OPPO Reno14 Pro 5G (Titanium Grey, 256 GB)",4.5,111,"₹49,999","5 Brilliant Excellent mobile. Very good camera and battery performance... Just not happy with Flipkart's exchange program. Their executives will reduce your phone's price for anything... READ MORE Sachin  Wakchaure Certified Buyer , Pimpri Chinchwad 1 month ago 23 0 Permalink Report Abuse || 5 Fabulous! This phone has excellent 👍 I am happy with this product 😊 Good camera quality 👍 Good battery backup 💯 Good performance 👍 Value for money product 💯 READ MORE Swapnil Deshmukh Certified Buyer , Pune District 2 months ago 381 86 Permalink Report Abuse"
itmb0bb5af15d090,"POCO C71 - Locked with Airtel Prepaid (Desert Gold, 64 GB)",3.9,"1,442","₹5,599","4 Value-for-money Value for money 👍, also love the style of this phone 😍 READ MORE Pranjit Bora Certified Buyer , Bhomoraguri Aidc 4 months ago 1350 424 Permalink Report Abuse || 4 Pretty good Good for normal usage at this price READ MORE ranjan kumar Certified Buyer , Kanke 5 months ago 1480 544 Permalink Report Abuse"
itm8096ee52d7013,"POCO C71 (Power Black, 128 GB)",4.1,733,"₹6,799","4 Delightful Nice phone in budget Happy 😊 READ MORE Prabha  Anant Certified Buyer , Raipur 4 months ago 759 220 Permalink Report Abuse || 4 Value-for-money Very good READ MORE Flipkart Customer Certified Buyer , Hyderabad 5 months ago 243 81 Permalink Report Abuse"
itm45d75002be0e7,"Google Pixel 7 (Lemongrass, 128 GB)",4.3,"2,129","₹30,999","4 Good choice The real smart phone in the market..... Lets talk about it..... Camera: In this range two best camera in the market are pixel 7 and s22. Portarit blur is more perfect in s22 but pixel 7 is real smart in image processing. This camera doesn't have manual mode so i was lil concern but when i started i never felt any need. Oh my god the night mode is just awesome. A few cons of camera are 1. Wide angle is not that wide and edge detection in portrait is not good. Cinematic blur is a beta feature... READ MORE Gourav Bhattacharjee Certified Buyer , North Guwahati Nov, 2022 8339 1620 Permalink Report Abuse || 5 Just wow! Night mode and Indoor clicks are awesome READ MORE Prem Vasan Certified Buyer , Chennai Jul, 2023 1363 203 Permalink Report Abuse"
itm5c791e407a330,"Google Pixel 8a (Obsidian, 128 GB)",4.3,630,"₹37,999","5 Excellent Great phone. Love it. Everything is fine except for the exchange thing. Exchange guys, taking extra cash by just causing unnecessary trouble. They don't approve without paying extra cash to them. Flipkart should look into it. READ MORE abhay Certified Buyer , Dehradun Jul, 2024 659 136 Permalink Report Abuse || 5 Super! Everything is perfect except 3 things in the battery department. 1.No charger. 2.Slow charging. 3.Small battery. I suggest Google to look into this matter seriously to upgrade in pixel 9 series to the present market trend, otherwise they will be fade out just like Nokia. READ MORE C R NARENDRA BABU Certified Buyer , Hyderabad. Jul, 2024 598 125 Permalink Report Abuse"
itmae02f9f3f765a,"REDMI A3X (Midnight Black, 64 GB)",4.1,488,"₹5,999","4 Really Nice After 1 month of use i would say if you're looking for a reliable phone for your parents who don't use tech products very much, it's a very good choice. READ MORE Bijoy Krishna Borah Certified Buyer , Sibsagar 2 months ago 36 2 Permalink Report Abuse || 4 Good quality product Cheap and best. Fine design.But sometimes it hang. However it is best at this price. READ MORE Flipkart Customer Certified Buyer , Palakkad District Aug, 2024 709 337 Permalink Report Abuse"
itmae02f9f3f765a,"REDMI A3X (Ocean Green, 128 GB)",4.1,315,"₹6,499","5 Terrific purchase The product is good with a low price which everyone can afford,and I would like to advise someone to please purchase it you will never regret. READ MORE johncameo umiong Certified Buyer , Goalpara 6 months ago 121 38 Permalink Report Abuse || 4 Pretty good Nice 👍 READ MORE Rahul kumar  Shrivastava Certified Buyer , Kulti 8 months ago 24 6 Permalink Report Abuse"
